ID,BookingDate,MinutesBooked
D-004,2024-06-03,0
D-005,2024-06-03,0
D-006,2024-06-03,0
D-012,2024-06-03,0
D-018,2024-06-03,0
D-026,2024-06-03,0
D-027,2024-06-03,0
D-028,2024-06-03,0
D-029,2024-06-03,0
D-030,2024-06-03,0
D-036,2024-06-03,0
D-037,2024-06-03,0
D-047,2024-06-03,0
D-048,2024-06-03,0
D-050,2024-06-03,0
D-051,2024-06-03,0
D-054,2024-06-03,0
D-055,2024-06-03,0
D-059,2024-06-03,0
D-062,2024-06-03,0
D-071,2024-06-03,0
D-072,2024-06-03,0
D-073,2024-06-03,0
MR-001,2024-06-03,30
MR-002,2024-06-03,30
MR-006,2024-06-03,90
D-003,2024-06-04,0
D-005,2024-06-04,0
D-006,2024-06-04,0
D-007,2024-06-04,0
D-008,2024-06-04,0
D-009,2024-06-04,0
D-010,2024-06-04,0
D-012,2024-06-04,0
D-013,2024-06-04,0
D-014,2024-06-04,0
D-015,2024-06-04,0
D-017,2024-06-04,0
D-018,2024-06-04,0
D-019,2024-06-04,0
D-021,2024-06-04,0
D-023,2024-06-04,0
D-024,2024-06-04,0
D-025,2024-06-04,0
D-026,2024-06-04,0
D-027,2024-06-04,0
D-028,2024-06-04,0
D-029,2024-06-04,0
D-030,2024-06-04,0
D-032,2024-06-04,0
D-033,2024-06-04,0
D-036,2024-06-04,0
D-037,2024-06-04,0
D-041,2024-06-04,0
D-044,2024-06-04,0
D-048,2024-06-04,0
D-050,2024-06-04,0
D-051,2024-06-04,0
D-054,2024-06-04,0
D-055,2024-06-04,0
D-056,2024-06-04,0
D-060,2024-06-04,0
D-061,2024-06-04,0
D-062,2024-06-04,0
D-068,2024-06-04,0
D-070,2024-06-04,0
D-071,2024-06-04,0
D-072,2024-06-04,0
D-076,2024-06-04,0
D-077,2024-06-04,0
MR-001,2024-06-04,60
MR-002,2024-06-04,150
MR-004,2024-06-04,60
MR-005,2024-06-04,30
MR-006,2024-06-04,90
MR-009,2024-06-04,60
D-001,2024-06-05,0
D-005,2024-06-05,0
D-007,2024-06-05,0
D-008,2024-06-05,0
D-009,2024-06-05,0
D-010,2024-06-05,0
D-011,2024-06-05,0
D-012,2024-06-05,0
D-015,2024-06-05,0
D-018,2024-06-05,0
D-019,2024-06-05,0
D-025,2024-06-05,0
D-026,2024-06-05,0
D-027,2024-06-05,0
D-029,2024-06-05,0
D-030,2024-06-05,0
D-032,2024-06-05,0
D-033,2024-06-05,0
D-034,2024-06-05,0
D-036,2024-06-05,0
D-037,2024-06-05,0
D-038,2024-06-05,0
D-044,2024-06-05,0
D-047,2024-06-05,0
D-048,2024-06-05,0
D-050,2024-06-05,0
D-051,2024-06-05,0
D-052,2024-06-05,0
D-054,2024-06-05,0
D-055,2024-06-05,0
D-061,2024-06-05,0
D-062,2024-06-05,0
D-063,2024-06-05,0
D-068,2024-06-05,0
D-070,2024-06-05,0
D-071,2024-06-05,0
D-072,2024-06-05,0
D-074,2024-06-05,0
MR-001,2024-06-05,120
MR-002,2024-06-05,30
MR-004,2024-06-05,150
