ID,Type,X_Pixels,Y_Pixels,Width_Pixels,Height_Pixels
D-001,desk,86,65,20,20
D-002,desk,107,64,20,20
D-003,desk,123,88,20,20
D-004,desk,155,65,20,20
D-005,desk,88,131,20,20
D-006,desk,108,132,20,20
D-007,desk,140,112,20,20
D-008,desk,153,134,20,20
D-009,desk,72,184,20,20
D-010,desk,126,184,20,20
D-011,desk,160,186,20,20
D-012,desk,205,64,20,20
D-013,desk,220,86,20,20
D-014,desk,250,64,20,20
D-015,desk,286,64,20,20
D-016,desk,285,120,20,20
D-017,desk,250,124,20,20
MR-001,meeting-room,237,154,73,73
D-018,desk,334,53,20,20
D-019,desk,335,100,20,20
MR-002,meeting-room,564,36,127,109
MR-003,meeting-room,315,276,125,81
MR-004,meeting-room,753,332,125,98
